,cluster,top_categories
75,75,"[' Restaurants', 'Bars', ' American (New)', ' Chicken Wings', ' Pubs', ' Nightlife', 'Cafes', ' Sandwiches', ' Parks', 'Active Life']"
76,76,"['Libraries', ' Public Services & Government', ' Health & Medical', 'Acupuncture']"
77,77,"[' Music Venues', ' Nightlife', 'Arts & Entertainment', 'Libraries', ' Public Services & Government']"
78,78,"[' Golf', 'Active Life']"
79,79,"['Sushi Bars', ' Chinese', 'Food', ' Grocery', ' Wine & Spirits', ' Beer', ' Shopping', 'Sporting Goods', 'Fast Food', ' Restaurants']"
80,80,"['Arts & Entertainment', ' Towing', 'Automotive', ' Performing Arts', ' Skin Care', ' Beauty & Spas', ' Medical Spas', ' Cosmetic Surgeons', ' Health & Medical', 'Doctors']"
81,81,"[' Restaurants', ' Food Stands', 'Indian']"
82,82,"['Photographers', ' Event Planning & Services']"
83,83,"[' Shopping', 'Shopping Centers', 'Food', ' Grocery', ' Delis', ' Sandwiches', ' Restaurants']"
84,84,"[' Bars', ' Sports Bars', 'Sandwiches', ' Nightlife', ' Restaurants', ' Automotive', ' Auto Parts & Supplies', 'Tires']"
85,85,"[' Kids Activities', ' Educational Services', ' Active Life', 'Arts & Entertainment', ' Cultural Center', ' Education', ' Coffee & Tea', 'Food', ' Restaurants', 'Breakfast & Brunch']"
86,86,"['Food', ' Beer', ' Wine & Spirits', 'Chinese', ' Restaurants', 'Restaurants']"
87,87,"[' Restaurants', ' Hot Dogs', 'Pubs', ' Bars', ' Nightlife', 'Breakfast & Brunch', ' Vegetarian', ' Cafes', 'American (New)', 'Thai']"
88,88,"[' Buffets', ' Japanese', 'Sushi Bars', ' Restaurants', ' Shopping', ' Tobacco Shops', ' Beer', ' Wine & Spirits', 'Health & Medical', ' Urgent Care']"
89,89,"[' Restaurants', 'Food', ' Seafood', ' Mediterranean', 'Portuguese', 'American (New)', ' Grocery', 'Pizza', ' Specialty Food', ' Food']"
90,90,"[' Restaurants', 'Pizza']"
91,91,"[' Restaurants', 'American (New)', ' Barbeque', ' Nightlife', 'Gastropubs', ' American (New)', 'Pubs', ' Bars', ' Lounges', 'Bars']"
92,92,"[' Beauty & Spas', 'Massage', ' Restaurants', 'Pizza']"
93,93,"[' Restaurants', ' American (New)', 'Greek', ' Middle Eastern', 'Sandwiches', 'Chinese', 'Pizza', 'Pet Groomers', ' Pets', ' Pet Services']"
94,94,"[' Restaurants', ' American (Traditional)', 'Bars', ' Nightlife']"
95,95,"['Bakeries', ' Cafes', ' Food', ' Restaurants', ' Body Shops', 'Automotive', 'Food', ' Specialty Food']"
96,96,"[' Restaurants', ' Nightlife', 'Bars', ' American (Traditional)', ' Gastropubs', ' Pubs', ' American (New)', ' Burgers', ' Sports Bars', 'Breakfast & Brunch']"
